step,loss_function,target_value,elapsed_time
5800,1.38697e-02,-7.82841e-01,299
5820,2.61201e-02,-7.83740e-01,300
5840,1.42428e-02,-7.85334e-01,301
5860,2.33707e-02,-7.87461e-01,302
5880,3.49982e-02,-7.89571e-01,303
5900,1.97417e-02,-7.89310e-01,304
5920,2.33803e-02,-7.87256e-01,305
5940,2.93324e-02,-7.90492e-01,306
5960,4.21042e-02,-7.84449e-01,307
5980,3.62550e-02,-7.85525e-01,308
6000,4.01899e-02,-7.90271e-01,309
6020,2.46938e-02,-7.88394e-01,311
6040,2.20803e-02,-7.86407e-01,312
6060,2.40097e-02,-7.84002e-01,313
6080,3.70414e-02,-7.84315e-01,314
6100,3.93643e-02,-7.86146e-01,315
6120,3.58941e-02,-7.86710e-01,316
6140,2.10314e-02,-7.87358e-01,317
6160,2.62545e-02,-7.83388e-01,318
6180,3.03314e-02,-7.85021e-01,319
6200,1.36237e-02,-7.89725e-01,320
6220,2.18359e-02,-7.87886e-01,321
6240,1.41364e-02,-7.85513e-01,322
6260,3.32306e-02,-7.80239e-01,323
6280,2.50023e-02,-7.83901e-01,324
6300,2.87216e-02,-7.88397e-01,325
6320,3.40006e-02,-7.89040e-01,326
6340,4.12937e-02,-7.90191e-01,327
6360,3.46527e-02,-7.85421e-01,328
6380,3.26407e-02,-7.87877e-01,329
6400,1.92377e-02,-7.84270e-01,330
6420,2.59407e-02,-7.83662e-01,332
6440,4.31893e-02,-7.88915e-01,333
6460,2.46760e-02,-7.90406e-01,334
6480,2.68522e-02,-7.92573e-01,335
6500,3.82448e-02,-7.86788e-01,336
6520,2.91614e-02,-7.82255e-01,337
6540,1.85991e-02,-7.86051e-01,338
6560,3.96765e-02,-7.92996e-01,339
6580,3.43217e-02,-7.92043e-01,340
6600,1.60351e-02,-7.90494e-01,341
6620,3.67250e-02,-7.89006e-01,342
6640,3.30199e-02,-7.87069e-01,343
6660,3.08079e-02,-7.89097e-01,344
6680,1.45741e-02,-7.85686e-01,345
6700,1.67803e-02,-7.82034e-01,346
6720,4.00612e-02,-7.85388e-01,347
6740,2.57103e-02,-7.85281e-01,348
6760,3.63770e-02,-7.84732e-01,349
6780,1.99550e-02,-7.83506e-01,350
6800,3.19341e-02,-7.86059e-01,351
6820,2.39277e-02,-7.85904e-01,352
6840,1.41996e-02,-7.85610e-01,354
6860,2.69844e-02,-7.82330e-01,355
6880,1.85138e-02,-7.83817e-01,356
6900,2.69696e-02,-7.79429e-01,357
6920,3.06001e-02,-7.83954e-01,358
6940,1.27260e-02,-7.87918e-01,359
6960,4.12551e-02,-7.88428e-01,360
6980,3.85386e-02,-7.85136e-01,361
7000,3.24137e-02,-7.83562e-01,362
7020,2.90780e-02,-7.83364e-01,363
7040,3.18901e-02,-7.86606e-01,364
7060,3.83209e-02,-7.87370e-01,365
7080,3.28012e-02,-7.88888e-01,366
7100,2.28211e-02,-7.88691e-01,367
7120,1.83693e-02,-7.90759e-01,368
7140,1.57162e-02,-7.86236e-01,369
7160,2.81119e-02,-7.84886e-01,370
7180,3.19951e-02,-7.85382e-01,371
7200,4.31916e-02,-7.88534e-01,373
7220,2.63333e-02,-7.86635e-01,374
7240,2.86404e-02,-7.84466e-01,375
7260,3.32024e-02,-7.81619e-01,376
7280,1.30768e-02,-7.83756e-01,377
7300,1.29279e-02,-7.89556e-01,378
7320,2.17624e-02,-7.88492e-01,379
7340,3.13735e-02,-7.86853e-01,380
7360,1.69418e-02,-7.84011e-01,381
7380,1.57262e-02,-7.89858e-01,382
7400,1.64951e-02,-7.89971e-01,383
7420,2.17797e-02,-7.91474e-01,384
7440,3.14317e-02,-7.87761e-01,385
7460,3.96161e-02,-7.85102e-01,386
7480,3.30004e-02,-7.83844e-01,387
7500,3.64744e-02,-7.80283e-01,388
7520,1.64941e-02,-7.83374e-01,389
7540,2.15860e-02,-7.84943e-01,390
7560,2.70761e-02,-7.83978e-01,391
7580,2.23919e-02,-7.82839e-01,392
7600,1.63077e-02,-7.85487e-01,394
7620,4.17639e-02,-7.84580e-01,395
7640,2.52557e-02,-7.84149e-01,396
