step,loss_function,target_value,elapsed_time
7680,4.74063e-01,2.30977e+00,295
7700,4.56395e-01,2.30956e+00,295
7720,4.93474e-01,2.30909e+00,296
7740,4.42949e-01,2.30927e+00,297
7760,4.95212e-01,2.30882e+00,298
7780,4.86406e-01,2.30977e+00,299
7800,4.43795e-01,2.31038e+00,299
7820,5.13715e-01,2.31048e+00,300
7840,5.01085e-01,2.31090e+00,301
7860,4.89508e-01,2.31003e+00,302
7880,4.86380e-01,2.31061e+00,303
7900,4.32238e-01,2.31103e+00,303
7920,4.82247e-01,2.31059e+00,304
7940,4.78162e-01,2.30913e+00,305
7960,4.55905e-01,2.30854e+00,306
7980,4.29392e-01,2.30811e+00,306
8000,4.77703e-01,2.30864e+00,307
